# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
i 2 920 0 0 34249 3809
p 2 0 892 28 5535 1047
p 2 0 915 5 8108 1084
p 2 0 917 3 6697 1014
p 2 0 916 4 7503 1033
p 2 0 911 9 7542 1052
p 2 0 909 11 7347 1036
p 2 0 910 10 7290 1042
p 2 0 907 13 7682 1028
p 2 0 910 10 7762 1014
p 2 0 917 3 7579 1012
p 2 0 912 8 7961 1038
p 2 0 918 2 7667 1024
p 2 0 911 9 7712 1034
p 2 0 913 7 7743 1024
p 2 0 910 10 7725 1025
p 2 0 910 10 7659 1018
p 2 0 912 8 7635 1025
p 2 0 918 2 7892 1025
p 2 0 916 4 7416 1021
p 2 0 915 5 8153 1041
p 2 0 916 4 7422 1010
p 2 0 920 0 7776 1028
p 2 0 917 3 7769 1028
p 2 0 911 9 7658 1036
p 2 0 912 8 7288 1024
p 2 0 917 3 7878 1026
p 2 0 914 6 7615 1001
p 2 0 917 3 7989 1032
p 2 0 918 2 7554 1029
p 2 0 918 2 7992 1022
p 2 0 915 5 7651 1034
p 2 0 911 9 7715 1019
p 2 0 913 7 7610 1003
p 2 0 910 10 7734 1002
p 2 0 917 3 7857 1033
p 2 0 914 6 7881 1020
p 2 0 915 5 7839 1029
p 2 0 917 3 7877 1025
p 2 0 915 5 7504 1020
p 2 0 919 1 7822 1034
p 2 0 913 7 7917 1024
p 2 0 914 6 7734 1028
p 2 0 914 6 8051 1022
p 2 0 918 2 8042 1033
i 2 920 0 0 4966 2722
p 2 10 111 799 4022 442
p 2 3 193 724 5255 553
p 2 5 284 631 5283 678
p 2 0 384 536 7199 784
p 2 0 441 479 8661 886
p 2 0 479 441 7826 898
p 2 0 480 440 6699 853
p 2 1 486 433 6792 863
p 2 14 490 416 7991 927
p 2 6 557 357 7524 936
p 2 0 587 333 7474 949
p 2 0 629 291 8265 990
p 2 795 125 0 12488 3313
p 2 742 178 0 13471 3367
p 2 609 311 0 15603 3284
p 2 566 354 0 16369 3180
p 2 547 373 0 16494 3170
p 2 539 381 0 16298 3162
p 2 557 363 0 16280 3184
p 2 572 348 0 14896 3174
p 2 565 355 0 14881 3146
p 2 564 356 0 14345 3141
p 2 528 392 0 14325 3057
p 2 532 388 0 13735 3043
p 2 498 422 0 13250 3005
p 2 448 472 0 13663 2983
p 2 432 488 0 13094 3011
p 2 399 521 0 13543 2983
p 2 366 554 0 14021 2961
p 2 335 585 0 14375 2911
p 2 0 913 7 6321 1422
p 2 0 875 45 5885 1322
p 2 0 902 18 5679 1295
p 2 0 904 16 5576 1253
p 2 0 911 9 5559 1212
p 2 0 912 8 5646 1196
p 2 0 906 14 5717 1126
p 2 0 906 14 5572 1114
p 2 0 906 14 5497 1127
p 2 0 911 9 5565 1129
p 2 0 907 13 5460 1129
p 2 0 897 23 5504 1119
p 2 0 908 12 5619 1131
p 2 0 912 8 5727 1122
p 2 0 912 8 5759 1162
p 2 0 906 14 5789 1171
p 2 0 910 10 5750 1179
p 2 0 906 14 5718 1187
p 2 0 909 11 5719 1222
p 2 0 903 17 5690 1187
p 2 0 910 10 5604 1134
p 2 0 908 12 5746 1115
p 2 0 906 14 5602 1148
p 2 0 912 8 5427 1103
p 2 0 909 11 5545 1108
p 2 0 906 14 5942 1106
p 2 0 913 7 5956 1160
p 2 0 909 11 6019 1144
p 2 0 905 15 5861 1169
p 2 0 908 12 5921 1144
p 2 0 908 12 6069 1151
p 2 0 895 25 6088 1131
p 2 0 906 14 6287 1153
p 2 0 905 15 6182 1135
p 2 0 908 12 6199 1145
p 2 0 911 9 6318 1139
p 2 0 902 18 6228 1158
p 2 0 908 12 6358 1134
p 2 0 907 13 6537 1160
p 2 0 909 11 6694 1146
p 2 0 908 12 6644 1159
p 2 0 915 5 6442 1153
p 2 0 907 13 6462 1152
p 2 0 906 14 6797 1161
p 2 0 898 22 6519 1123
p 2 0 911 9 6983 1175
p 2 0 907 13 6892 1159
p 2 0 911 9 6792 1156
p 2 0 890 30 6912 1145
p 2 0 909 11 6911 1181
p 2 0 909 11 7008 1182
p 2 0 912 8 7100 1180
p 2 0 908 12 6964 1174
p 2 0 909 11 7110 1202
p 2 0 903 17 6947 1167
p 2 0 911 9 7028 1182
p 2 0 897 23 7022 1155
p 2 0 909 11 7235 1188
i 2 920 0 0 83336 4224
p 2 0 79 841 258 210
p 2 0 31 889 173 167
p 2 0 13 907 151 148
p 2 0 12 908 150 148
p 2 0 4 916 141 141
p 2 0 8 912 149 145
p 2 0 8 912 147 144
p 2 0 9 911 149 145
p 2 0 17 903 159 152
p 2 0 12 908 155 147
p 2 0 25 895 177 158
p 2 0 44 876 209 175
p 2 0 45 875 215 176
i 2 920 0 0 61424 3350
p 2 0 916 4 4743 957
p 2 0 912 8 9319 969
p 2 0 916 4 11107 976
p 2 0 913 7 12654 968
p 2 0 918 2 9196 982
p 2 0 915 5 12596 969
p 2 0 915 5 12368 966
p 2 0 918 2 12209 970
p 2 0 917 3 12190 967
