# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2596 2596
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
i 2 920 0 0 26526 3434
p 2 0 401 519 774 565
p 2 0 335 585 589 474
p 2 0 224 696 453 365
p 2 0 212 708 420 349
p 2 0 81 839 250 220
p 2 0 110 810 308 251
p 2 0 119 801 291 252
p 2 0 67 853 232 205
p 2 0 75 845 254 211
p 2 0 81 839 246 216
p 2 0 58 862 217 194
p 2 0 66 854 237 202
p 2 0 79 841 243 214
p 2 0 46 874 194 180
p 2 0 51 869 214 188
p 2 0 73 847 226 206
p 2 0 31 889 193 171
p 2 0 65 855 235 200
p 2 0 55 865 207 190
p 2 0 42 878 201 179
p 2 0 38 882 188 171
p 2 0 28 892 173 164
p 2 0 67 853 226 200
p 2 0 26 894 176 164
p 2 0 32 888 180 168
p 2 0 72 848 238 205
p 2 0 33 887 180 167
p 2 0 29 891 172 164
p 2 0 47 873 198 181
p 2 0 24 896 172 162
p 2 0 31 889 180 167
p 2 0 62 858 217 194
p 2 0 31 889 176 166
p 2 0 31 889 176 166
p 2 0 43 877 197 178
p 2 0 27 893 174 164
p 2 0 24 896 173 160
p 2 0 57 863 213 192
p 2 0 30 890 180 167
p 2 0 27 893 166 162
p 2 0 40 880 188 174
p 2 0 21 899 164 156
p 2 0 17 903 158 153
p 2 0 40 880 191 175
p 2 0 33 887 174 166
p 2 0 17 903 155 152
p 2 0 36 884 189 172
p 2 0 39 881 180 172
p 2 0 39 881 187 172
p 2 0 39 881 182 173
p 2 0 16 904 159 152
p 2 0 29 891 180 165
p 2 0 35 885 183 170
p 2 0 18 902 162 153
p 2 0 23 897 174 159
p 2 0 27 893 169 163
p 2 0 20 900 162 156
p 2 0 23 897 170 160
p 2 0 33 887 173 166
p 2 0 27 893 169 161
p 2 0 34 886 181 169
p 2 0 32 888 176 166
p 2 0 21 899 164 156
p 2 0 21 899 165 157
p 2 0 40 880 178 173
p 2 0 21 899 167 158
p 2 0 32 888 179 167
p 2 0 34 886 177 168
p 2 0 13 907 156 150
p 2 0 29 891 175 164
p 2 0 27 893 168 163
p 2 0 20 900 165 156
p 2 0 29 891 170 163
p 2 0 28 892 176 164
p 2 0 18 902 157 154
p 2 0 39 881 188 174
p 2 0 29 891 173 165
p 2 0 24 896 168 159
p 2 0 26 894 173 162
p 2 0 34 886 187 168
p 2 0 36 884 190 171
p 2 0 74 846 235 207
i 2 920 0 0 20531 3127
p 2 0 51 869 194 178
p 2 0 98 822 229 218
p 2 0 4 916 142 141
p 2 0 74 846 196 195
p 2 0 31 889 159 158
p 2 0 71 849 193 192
p 2 0 2 918 139 139
p 2 0 34 886 159 159
p 2 0 2 918 140 139
p 2 0 32 888 158 158
p 2 0 1 919 138 138
p 2 0 30 890 156 156
p 2 0 0 920 137 137
p 2 0 44 876 166 165
p 2 0 1 919 138 138
p 2 0 1 919 138 138
p 2 0 0 920 137 137
p 2 0 1 919 138 138
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 3 917 141 140
p 2 0 1 919 138 138
p 2 0 1 919 138 138
p 2 0 1 919 140 138
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 140 138
p 2 0 3 917 141 140
p 2 0 2 918 140 140
p 2 0 0 920 137 137
p 2 0 1 919 138 138
p 2 0 1 919 140 138
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 1 919 138 138
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 0 920 137 137
p 2 0 19 901 167 156
i 2 920 0 0 35515 4592
p 2 0 848 72 8657 1162
p 2 229 659 32 30427 3125
p 2 0 842 78 9595 1205
p 2 188 711 21 30507 2980
p 2 0 876 44 4595 1157
p 2 208 687 25 30933 3097
p 2 0 889 31 8669 1275
p 2 200 695 25 30143 3016
p 2 1 886 33 11950 1324
p 2 232 668 20 33372 3270
p 2 0 893 27 9838 1363
p 2 187 716 17 30498 3122
p 2 0 885 35 6770 1294
p 2 153 744 23 31747 2999
p 2 0 887 33 10962 1356
p 2 137 768 15 32351 2995
p 2 0 726 194 4025 1018
p 2 210 686 24 30859 3118
p 2 0 880 40 7292 1290
p 2 220 682 18 40117 3462
p 2 0 887 33 9851 1295
p 2 149 759 12 39728 3200
p 2 0 898 22 10894 1425
p 2 206 696 18 39901 3428
p 2 0 895 25 10266 1363
p 2 127 765 28 21563 2678
p 2 47 843 30 29849 2033
p 2 144 756 20 22610 2633
p 2 0 896 24 9552 1310
p 2 349 564 7 44665 3772
p 2 0 895 25 10359 1214
p 2 119 785 16 19924 2398
i 2 920 0 0 36071 4094
p 2 108 772 40 20196 2068
p 2 0 845 75 9563 1151
p 2 275 619 26 40673 3256
p 2 0 867 53 12402 1253
p 2 102 773 45 20246 2024
p 2 47 844 29 35790 2168
